tid,slope,roughness,bed_level_x,aspect,bed_level_y,change,change_norm,predicted_target_norm,predicted_target
36235,1.0961,0.0012,6.8269,66.2611,6.8863,0.05940000000000012,0.4656860802094184,0.35623533,0.050390244
36236,0.9247,0.0009,6.7805,58.1095,6.844,0.06350000000000033,0.5154929765129959,0.41797835,0.055472802
36237,1.2302,0.001,6.7537,89.1425,6.816,0.06229999999999958,0.5009153483265745,0.36227518,0.050887432
36238,1.1327,0.0012,6.7797,114.028,6.8013,0.021600000000000286,0.006490792337437395,0.32279748,0.04763771
36244,1.868,0.0012,7.5288,177.141,7.6322,0.10339999999999971,1.0001991137111925,0.21150507,0.038476348
36245,2.0364,0.0019,7.6319,159.997,7.6063,-0.025599999999999845,-0.566895916328109,0.12910147,0.031693056
36246,2.5428,0.0027,7.7003,72.0848,7.5473,-0.15300000000000047,-2.1145541087855406,0.025659248,0.023177907
36247,3.3358,0.0031,7.6774,246.976,7.7351,0.05770000000000053,0.4450344402786728,-0.17835225,0.0063841054
36250,1.4309,0.0017,6.8205,65.6047,6.8425,0.02200000000000024,0.011350001732907579,0.2498662,0.041634157
36251,3.4546,0.0033,6.7392,48.264,6.753,0.013799999999999812,-0.08826379087424738,0.024829343,0.02310959
36252,2.7154,0.0028,6.5907,50.341,6.6141,0.023399999999999643,0.028357234617047828,0.081453085,0.02777074
36253,1.5305,0.0015,6.5847,120.896,6.607,0.02230000000000043,0.014994408779512915,0.2080218,0.038189616
36254,1.9274,0.0016,6.6175,233.152,6.6591,0.04159999999999986,0.24945126211096816,0.053791925,0.025493732
36255,2.7482,0.0022,6.656,229.271,6.689,0.03300000000000036,0.14497826010835382,-0.031656742,0.018459775
36256,1.6888,0.0021,6.7781,187.574,6.7794,0.0012999999999996348,-0.2401140844827095,0.00073863566,0.021126494
36257,2.4624,0.0027,6.8471,232.414,6.8608,0.013700000000000045,-0.08947859322311222,-0.081733674,0.014337546
36258,4.9514,0.0041,7.7701,81.899,7.5434,-0.22670000000000012,-3.0098634399010167,-0.12352811,0.010897115
36259,5.2171,0.0057,7.7115,57.3641,7.448,-0.2634999999999996,-3.456910704284317,-0.22192235,0.002797505
36260,7.0916,0.0076,7.3965,51.5261,7.2975,-0.09899999999999931,-1.4585608403969794,-0.34915888,-0.0076763406
36261,5.4265,0.006,7.0961,56.0812,7.0907,-0.005399999999999849,-0.3215058418568378,-0.19718634,0.0048337225
36262,2.7063,0.0033,6.9337,59.5118,6.9326,-0.001100000000000101,-0.2692693408555306,0.032325387,0.02372665
36263,1.74,0.0019,6.8565,69.3064,6.8833,0.0268000000000006,0.06966051447856057,0.18871124,0.03660001
36264,1.6993,0.0017,6.8344,80.8642,6.8764,0.0420000000000007,0.25431047150644914,0.21766494,0.038983416
36265,1.8445,0.0017,6.8242,87.2053,6.8559,0.03169999999999984,0.12918582957306762,0.20030923,0.03755473
36272,5.8525,0.0065,7.374,235.38,7.3503,-0.023699999999999832,-0.5438146716996229,-0.34446764,-0.0072901677
36273,4.6934,0.0051,7.5964,233.697,7.5785,-0.017900000000000027,-0.47335613546529987,-0.27273446,-0.0013852417
